LineDescription,TimePeriod,TableName,SeriesCode,LineNumber,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
Accessories and parts,2017-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.98325,U20406
Accessories and parts,2017-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9589166666666666,U20406
Accessories and parts,2017-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9765,U20406
Accessories and parts,2017-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9533333333333336,U20406
Accessories and parts,2017-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9598333333333335,U20406
Accessories and parts,2017-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9720833333333334,U20406
Accessories and parts,2017-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9445833333333336,U20406
Accessories and parts,2017-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.0529166666666665,U20406
Accessories and parts,2017-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.0395,U20406
Accessories and parts,2017-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.075583333333333,U20406
Accessories and parts,2017-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.11525,U20406
Accessories and parts,2018-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.084833333333333,U20406
Accessories and parts,2018-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.051166666666666,U20406
Accessories and parts,2018-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9955833333333333,U20406
Accessories and parts,2018-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.003916666666666,U20406
Accessories and parts,2018-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.027666666666667,U20406
Accessories and parts,2018-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9679166666666665,U20406
Accessories and parts,2018-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9443333333333337,U20406
Accessories and parts,2018-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9055,U20406
Accessories and parts,2018-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9389166666666666,U20406
Accessories and parts,2018-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.943,U20406
Accessories and parts,2018-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9353333333333333,U20406
Accessories and parts,2018-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9278333333333335,U20406
Accessories and parts,2019-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.8236666666666665,U20406
Accessories and parts,2019-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9479166666666665,U20406
Accessories and parts,2019-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.015416666666667,U20406
Accessories and parts,2019-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9676666666666667,U20406
Accessories and parts,2019-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9831666666666665,U20406
Accessories and parts,2019-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.0175833333333335,U20406
Accessories and parts,2019-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.083333333333334,U20406
Accessories and parts,2019-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.103,U20406
Accessories and parts,2019-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.021416666666666,U20406
Accessories and parts,2019-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.018083333333333,U20406
Accessories and parts,2019-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.045583333333333,U20406
Accessories and parts,2019-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9768333333333334,U20406
Accessories and parts,2020-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.8806666666666665,U20406
Accessories and parts,2020-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.8820833333333336,U20406
Accessories and parts,2020-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.3134166666666665,U20406
Accessories and parts,2020-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.1533333333333333,U20406
Accessories and parts,2020-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.006583333333333,U20406
Accessories and parts,2020-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.27375,U20406
Accessories and parts,2020-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.26825,U20406
Accessories and parts,2020-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.310583333333333,U20406
Accessories and parts,2020-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.270333333333333,U20406
Accessories and parts,2020-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.2804166666666665,U20406
Accessories and parts,2020-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.286083333333333,U20406
Accessories and parts,2020-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.322416666666667,U20406
Accessories and parts,2021-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.472416666666667,U20406
Accessories and parts,2021-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.39975,U20406
Accessories and parts,2021-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.907916666666667,U20406
Accessories and parts,2021-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.956916666666667,U20406
Accessories and parts,2021-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.7915,U20406
Accessories and parts,2021-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.787,U20406
Accessories and parts,2021-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.67275,U20406
Accessories and parts,2021-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.622333333333333,U20406
Accessories and parts,2021-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.570833333333333,U20406
Accessories and parts,2021-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.575,U20406
Accessories and parts,2021-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.595666666666667,U20406
Accessories and parts,2021-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.541083333333333,U20406
Accessories and parts,2022-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.690083333333333,U20406
Accessories and parts,2022-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.61375,U20406
Accessories and parts,2022-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.609916666666667,U20406
Accessories and parts,2022-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.615833333333333,U20406
Accessories and parts,2022-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.4715,U20406
Accessories and parts,2022-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.4875,U20406
Accessories and parts,2022-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.4535833333333334,U20406
Accessories and parts,2022-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.49175,U20406
Accessories and parts,2022-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.4465,U20406
Accessories and parts,2022-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.437833333333333,U20406
Accessories and parts,2022-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.31525,U20406
Accessories and parts,2022-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.358416666666667,U20406
Accommodations (104),2007-01-01,U20406,DACCRX,249,Chained Dollars,Level,6,8.88475,U20406
Accommodations (104),2007-02-01,U20406,DACCRX,249,Chained Dollars,Level,6,8.899666666666667,U20406
Accommodations (104),2007-03-01,U20406,DACCRX,249,Chained Dollars,Level,6,8.969583333333334,U20406
Accommodations (104),2007-04-01,U20406,DACCRX,249,Chained Dollars,Level,6,8.955833333333334,U20406
Accommodations (104),2007-05-01,U20406,DACCRX,249,Chained Dollars,Level,6,8.95675,U20406
Accommodations (104),2007-06-01,U20406,DACCRX,249,Chained Dollars,Level,6,8.861166666666666,U20406
Accommodations (104),2007-07-01,U20406,DACCRX,249,Chained Dollars,Level,6,8.79175,U20406
Accommodations (104),2007-08-01,U20406,DACCRX,249,Chained Dollars,Level,6,8.925416666666665,U20406
Accommodations (104),2007-09-01,U20406,DACCRX,249,Chained Dollars,Level,6,8.937916666666666,U20406
Accommodations (104),2007-10-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.1315,U20406
Accommodations (104),2007-11-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.183666666666666,U20406
Accommodations (104),2007-12-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.08175,U20406
Accommodations (104),2008-01-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.17175,U20406
Accommodations (104),2008-02-01,U20406,DACCRX,249,Chained Dollars,Level,6,8.96425,U20406
Accommodations (104),2008-03-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.142,U20406
Accommodations (104),2008-04-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.354833333333334,U20406
Accommodations (104),2008-05-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.31125,U20406
Accommodations (104),2008-06-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.430916666666667,U20406
Accommodations (104),2008-07-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.266333333333334,U20406
Accommodations (104),2008-08-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.512916666666666,U20406
Accommodations (104),2008-09-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.380583333333334,U20406
Accommodations (104),2008-10-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.309833333333334,U20406
Accommodations (104),2008-11-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.129583333333334,U20406
Accommodations (104),2008-12-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.2915,U20406
Accommodations (104),2009-01-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.082833333333333,U20406
Accommodations (104),2009-02-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.201166666666666,U20406
Accommodations (104),2009-03-01,U20406,DACCRX,249,Chained Dollars,Level,6,8.981333333333334,U20406
Accommodations (104),2009-04-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.21525,U20406
Accommodations (104),2009-05-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.172,U20406
Accommodations (104),2009-06-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.348083333333333,U20406
Accommodations (104),2009-07-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.627916666666666,U20406
Accommodations (104),2009-08-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.537083333333333,U20406
Accommodations (104),2009-09-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.4545,U20406
Accommodations (104),2009-10-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.351,U20406
Accommodations (104),2009-11-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.409916666666666,U20406
Accommodations (104),2009-12-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.61025,U20406
Accommodations (104),2010-01-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.470666666666666,U20406
Accommodations (104),2010-02-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.654583333333333,U20406
Accommodations (104),2010-03-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.656583333333334,U20406
Accommodations (104),2010-04-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.708416666666666,U20406
Accommodations (104),2010-05-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.7735,U20406
Accommodations (104),2010-06-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.764333333333333,U20406
Accommodations (104),2010-07-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.8455,U20406
Accommodations (104),2010-08-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.881083333333335,U20406
Accommodations (104),2010-09-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.870666666666667,U20406
Accommodations (104),2010-10-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.896416666666665,U20406
Accommodations (104),2010-11-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.980666666666666,U20406
Accommodations (104),2010-12-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.830083333333334,U20406
Accommodations (104),2011-01-01,U20406,DACCRX,249,Chained Dollars,Level,6,9.883083333333333,U20406
Accommodations (104),2011-02-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.012583333333334,U20406
Accommodations (104),2011-03-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.148666666666665,U20406
Accommodations (104),2011-04-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.103833333333334,U20406
Accommodations (104),2011-05-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.389583333333334,U20406
Accommodations (104),2011-06-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.153583333333334,U20406
Accommodations (104),2011-07-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.086083333333335,U20406
Accommodations (104),2011-08-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.109583333333333,U20406
Accommodations (104),2011-09-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.316333333333334,U20406
Accommodations (104),2011-10-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.310333333333334,U20406
Accommodations (104),2011-11-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.40425,U20406
Accommodations (104),2011-12-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.130333333333335,U20406
Accommodations (104),2012-01-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.50025,U20406
Accommodations (104),2012-02-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.198416666666667,U20406
Accommodations (104),2012-03-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.538333333333334,U20406
Accommodations (104),2012-04-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.66275,U20406
Accommodations (104),2012-05-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.637583333333334,U20406
Accommodations (104),2012-06-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.641416666666666,U20406
Accommodations (104),2012-07-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.71875,U20406
Accommodations (104),2012-08-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.772666666666666,U20406
Accommodations (104),2012-09-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.77625,U20406
Accommodations (104),2012-10-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.837833333333334,U20406
Accommodations (104),2012-11-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.896166666666666,U20406
Accommodations (104),2012-12-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.9725,U20406
Accommodations (104),2013-01-01,U20406,DACCRX,249,Chained Dollars,Level,6,11.0105,U20406
Accommodations (104),2013-02-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.95475,U20406
Accommodations (104),2013-03-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.965833333333334,U20406
Accommodations (104),2013-04-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.962916666666667,U20406
Accommodations (104),2013-05-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.860166666666666,U20406
Accommodations (104),2013-06-01,U20406,DACCRX,249,Chained Dollars,Level,6,10.9155,U20406
